# t,xt0,xt1,xt2,xt3,xt4,xt5,xc0,xc1,xc2,xc3,xc4,xc5,dist,b_obs
1.382500000000000000e+02,2.904290399043512050e+00,1.852331918029044511e+00,1.139124526719522191e-05,-9.578936730757698411e-04,-5.206756905162501477e-04,-1.134036551616787827e-05,3.058379058000906259e+00,2.234384324573620351e+00,-1.967416321854060568e+00,-2.384100628677557603e-03,-3.983808250750271707e-04,3.693224935464336795e-03,4.119555269271065190e-01,1.466694125142123384e-03
1.383000000000000114e+02,2.904242658986910364e+00,1.852305968287353943e+00,1.082752059531378034e-05,-9.517085909866091539e-04,-5.173139771057578889e-04,-1.120862135908970821e-05,3.058260150055499338e+00,2.234364471229045357e+00,-1.967231783265970035e+00,-2.372217187591758349e-03,-3.957529579165014661e-04,3.688318588159610750e-03,4.119345666791138783e-01,1.463957151968677331e-03
1.383499999999999943e+02,2.904195228009103680e+00,1.852280186536132911e+00,1.027036502459706434e-05,-9.455305212728214387e-04,-5.139560717383079855e-04,-1.107760146957891628e-05,3.058141836910640787e+00,2.234344749170907640e+00,-1.967047492882955106e+00,-2.360308606749383139e-03,-3.931293675905669634e-04,3.683296732440589916e-03,4.119136904905984498e-01,1.461205884609917145e-03
1.384000000000000057e+02,2.904148105749197573e+00,1.852254572579392633e+00,9.719742272392266368e-06,-9.393598749654563868e-04,-5.106021978718772777e-04,-1.094730861861295700e-05,3.058024119799088503e+00,2.234325158181167836e+00,-1.966863456467664362e+00,-2.348375855350488556e-03,-3.905102220018994482e-04,3.678159879187902458e-03,4.118928988001197555e-01,1.458440355898461176e-03
1.384500000000000171e+02,2.904101291825902820e+00,1.852229126210056975e+00,9.175615920364121696e-06,-9.331970568230035269e-04,-5.072525755545710452e-04,-1.081774546251284007e-05,3.057906999905314116e+00,2.234305698033461685e+00,-1.966679679756921706e+00,-2.336419895632514069e-03,-3.878956862442941634e-04,3.672908550521183663e-03,4.118721920379359580e-01,1.455660598981769679e-03
1.385000000000000000e+02,2.904054785837847596e+00,1.852203847210131871e+00,8.637949420192977016e-06,-9.270424653845597655e-04,-5.039074214535252351e-04,-1.068891454433295561e-05,3.057790478365852049e+00,2.234286368493239916e+00,-1.966496168461168148e+00,-2.324441682849059856e-03,-3.852859226314250579e-04,3.667543279624905367e-03,4.118515706260227893e-01,1.452866647312714638e-03
1.385500000000000114e+02,2.904008587363887450e+00,1.852178735350873406e+00,8.106706099203275228e-06,-9.208964930227748818e-04,-5.005669488836879096e-04,-1.056081829525510911e-05,3.057674556269649457e+00,2.234267169317905921e+00,-1.966312928263913129e+00,-2.312442165258166149e-03,-3.826810907215809137e-04,3.662064610576521231e-03,4.118310349780914814e-01,1.450058534641175028e-03
1.385999999999999943e+02,2.903962695963412166e+00,1.852153790392955468e+00,7.581849165922243889e-06,-9.147595259965741110e-04,-4.972313678364787210e-04,-1.043345903598614613e-05,3.057559234658415281e+00,2.234248100256954306e+00,-1.966129964821194287e+00,-2.300422284104699285e-03,-3.800813473441011221e-04,3.656473098173383847e-03,4.118105854996094162e-01,1.447236295001754543e-03
1.386500000000000057e+02,2.903917111176649524e+00,1.852129012086634274e+00,7.063341715568653463e-06,-9.086319445036568397e-04,-4.939008850083272811e-04,-1.030683897815745737e-05,3.057444514526972412e+00,2.234229161052105006e+00,-1.965947283761045883e+00,-2.288382973614578111e-03,-3.774868466247703006e-04,3.650769307761770385e-03,4.117902225878216083e-01,1.444399962710065386e-03
1.387000000000000171e+02,2.903871832524968610e+00,1.852104400171913356e+00,6.551146735471564063e-06,-9.025141227327679446e-04,-4.905757038290880405e-04,-1.018096022572612709e-05,3.057330396823607632e+00,2.234210351437439179e+00,-1.965764890682975219e+00,-2.276325160975711543e-03,-3.748977400121278141e-04,3.644953815063424994e-03,4.117699466317714663e-01,1.441549572347518857e-03
